data,venda,estoque,preco,venda_lag1,venda_lag7,venda_lag14,venda_ma7,venda_ma14,venda_ma28,venda_std7,dow,month,is_month_start,is_month_end,preco_diff1,estoque_diff1
2014-01-28,86.0,3216.0,1.09,125.0,70.0,80.0,125.0,113.07142857142857,117.21428571428571,44.80327368991389,1,1,0,0,0.0,-86.0
2014-01-29,222.0,2994.0,0.99,86.0,127.0,82.0,138.57142857142858,123.07142857142857,125.14285714285714,57.965096229993264,2,1,0,0,-0.10000000000000009,-222.0
2014-01-30,272.0,2723.0,0.99,222.0,96.0,94.0,163.71428571428572,135.78571428571428,132.35714285714286,72.71568901256062,3,1,0,0,0.0,-271.0
2014-01-31,209.0,2514.0,0.99,272.0,75.0,0.0,182.85714285714286,150.71428571428572,137.71428571428572,62.371009749264594,4,1,0,1,0.0,-209.0
2014-02-01,369.0,2145.0,0.99,209.0,198.0,159.0,207.28571428571428,165.71428571428572,147.57142857142858,94.50170066496915,5,2,1,0,0.0,-369.0
2014-02-02,217.0,1928.0,0.99,369.0,168.0,199.0,214.28571428571428,167.0,151.89285714285714,92.90804465655687,6,2,0,0,0.0,-217.0
2014-02-03,97.0,1831.0,0.99,217.0,125.0,104.0,210.28571428571428,166.5,150.17857142857142,97.86336441814218,0,2,0,0,0.0,-97.0
2014-02-04,117.0,1714.0,0.99,97.0,86.0,70.0,214.71428571428572,169.85714285714286,147.96428571428572,91.81632804266405,1,2,0,0,0.0,-117.0
2014-02-05,100.0,1998.0,1.29,117.0,222.0,127.0,197.28571428571428,167.92857142857142,140.07142857142858,101.29283338537874,2,2,0,0,0.30000000000000004,284.0
2014-02-06,64.0,2126.0,1.29,100.0,272.0,96.0,167.57142857142858,165.64285714285714,137.89285714285714,106.11606404130832,3,2,0,0,0.0,128.0
2014-02-07,35.0,2091.0,1.29,64.0,209.0,75.0,142.71428571428572,162.78571428571428,136.0,114.81683135283242,4,2,0,0,0.0,-35.0
2014-02-08,54.0,2037.0,1.29,35.0,369.0,198.0,97.71428571428571,152.5,131.21428571428572,59.982537141277724,5,2,0,0,0.0,-54.0
2014-02-09,55.0,1982.0,1.29,54.0,217.0,168.0,74.57142857142857,144.42857142857142,128.85714285714286,30.09350507367073,6,2,0,0,0.0,-55.0
2014-02-10,0.0,1982.0,1.29,55.0,97.0,125.0,60.714285714285715,135.5,124.07142857142857,39.04576069910057,0,2,0,0,0.0,0.0
2014-02-11,0.0,1982.0,1.29,0.0,117.0,86.0,44.0,129.35714285714286,121.21428571428571,35.8468966578698,1,2,0,0,0.0,0.0
2014-02-12,8.0,7228.0,1.29,0.0,100.0,222.0,30.857142857142858,114.07142857142857,118.57142857142857,27.87130287248015,2,2,0,0,0.0,5246.0
2014-02-13,43.0,7185.0,1.09,8.0,64.0,272.0,27.857142857142858,97.71428571428571,116.75,24.653793294532186,3,2,0,0,-0.19999999999999996,-43.0
2014-02-14,107.0,7078.0,1.09,43.0,35.0,209.0,38.142857142857146,90.42857142857143,120.57142857142857,38.98473449710182,4,2,0,0,0.0,-107.0
2014-02-15,116.0,6962.0,1.09,107.0,54.0,369.0,47.0,72.35714285714286,119.03571428571429,48.955762343841236,5,2,0,0,0.0,-116.0
2014-02-16,87.0,6875.0,1.09,116.0,55.0,217.0,51.57142857142857,63.07142857142857,115.03571428571429,51.26680909014829,6,2,0,0,0.0,-87.0
2014-02-17,66.0,6809.0,1.09,87.0,0.0,97.0,61.0,60.857142857142854,113.67857142857143,45.99999999999998,0,2,0,0,0.0,-66.0
2014-02-18,44.0,6765.0,1.09,66.0,0.0,117.0,67.28571428571429,55.642857142857146,112.75,38.70277460214913,1,2,0,0,0.0,-44.0
2014-02-19,33.0,6731.0,1.09,44.0,8.0,100.0,70.85714285714286,50.857142857142854,109.39285714285714,33.06271097691257,2,2,0,0,0.0,-34.0
2014-02-20,13.0,6718.0,1.09,33.0,43.0,64.0,66.57142857142857,47.214285714285715,106.42857142857143,38.733521842013175,3,2,0,0,0.0,-13.0
2014-02-21,53.0,6665.0,1.09,13.0,107.0,35.0,58.857142857142854,48.5,105.64285714285714,34.48395071831031,4,2,0,0,0.0,-53.0
2014-02-22,72.0,6593.0,1.09,53.0,116.0,54.0,52.57142857142857,49.785714285714285,101.14285714285714,25.052326191773982,5,2,0,0,0.0,-72.0
2014-02-23,50.0,6543.0,1.09,72.0,87.0,55.0,47.285714285714285,49.42857142857143,96.92857142857143,19.96425376946069,6,2,0,0,0.0,-50.0
2014-02-24,15.0,6528.0,1.09,50.0,66.0,0.0,40.0,50.5,93.0,21.26029162546922,0,2,0,0,0.0,-15.0
2014-02-25,12.0,6516.0,1.09,15.0,44.0,0.0,35.42857142857143,51.357142857142854,90.35714285714286,23.571572871131107,1,2,0,0,0.0,-12.0
2014-02-26,71.0,6445.0,1.09,12.0,33.0,8.0,40.857142857142854,55.857142857142854,84.96428571428571,27.03965342127842,2,2,0,0,0.0,-71.0
2014-02-27,37.0,6412.0,1.09,71.0,13.0,43.0,44.285714285714285,55.42857142857143,76.57142857142857,24.301675427250387,3,2,0,0,0.0,-33.0
2014-02-28,83.0,6329.0,1.09,37.0,53.0,107.0,48.57142857142857,53.714285714285715,72.07142857142857,28.395170615541492,4,2,0,1,0.0,-83.0
2014-03-01,94.0,6237.0,1.09,83.0,72.0,116.0,51.714285714285715,52.142857142857146,62.25,32.36105831455597,5,3,1,0,0.0,-92.0
2014-03-02,59.0,6178.0,1.09,94.0,50.0,87.0,53.0,50.142857142857146,56.607142857142854,32.46023207967964,6,3,0,0,0.0,-59.0
2014-03-03,49.0,6129.0,1.09,59.0,15.0,66.0,57.857142857142854,48.92857142857143,54.892857142857146,28.073882117421064,0,3,0,0,0.0,-49.0
2014-03-04,0.0,6129.0,1.09,49.0,12.0,44.0,56.142857142857146,45.785714285714285,50.714285714285715,31.49829927381563,1,3,0,0,0.0,0.0
